bottle_volume_ml,bottles_sold,sale_dollars,state_bottle_cost,state_bottle_retail,volume_sold_gallons,volume_sold_liters
2546025,22605,280022,30152,45278,5112,19345
2182975,22394,281126,27577,41400,5016,18984
1500250,14203,165366,18269,27416,3202,12120
2211675,21886,285650,27238,40893,4881,18469
2466425,25820,333103,32479,48731,5389,20393
2328325,25516,334487,35824,53752,5389,20393
2367175,27516,352986,31040,46573,5941,22482
2379225,23670,341659,33864,50810,4918,18611
1941450,20581,254372,24447,36677,4513,17078
1797500,19128,205204,21009,31518,4258,16116
1831475,18020,204509,21072,31613,4143,15678
1892675,21260,246987,21322,31988,4902,18553
1674200,17934,193584,19322,28987,4073,15414
1856475,17910,236699,22589,33898,3860,14609
1797975,19825,215539,20706,31074,4255,16105
1859175,20698,227793,22301,33464,4589,17368
1865850,19963,233865,26183,39291,4536,17168
1870925,20506,226246,21349,32055,4587,17360
1839275,18324,207435,21070,31626,4119,15586
1941850,19675,220349,23484,35251,4413,16702
2438500,23695,268161,28238,42392,5496,20799
1531450,16704,186998,17185,25789,3733,14126
2110800,21197,265032,24663,37006,4693,17760
1959275,20030,284002,24484,36736,4406,16671
1926100,24005,289663,23594,35402,5633,21319
2434875,26213,305746,27541,41325,5889,22288
1471400,13540,154487,17052,25593,2962,11210
2098075,21313,237879,25288,37953,4661,17638
1674375,15234,179820,20682,31036,3355,12695
1901925,17813,214836,22428,33658,3999,15134
1789800,16502,199016,21795,32707,3642,13782
1829675,18762,211418,22158,33255,4096,15500
1743850,18897,213627,20547,30833,4324,16363
1778425,19696,218405,21145,31731,4354,16478
7328025,23643,684297,72903,109324,6215,23645
1516675,17138,299912,26310,39469,4281,16200
1918225,22078,395164,33136,49709,4956,18754
1766150,18457,306724,29238,43861,4065,15383
1793900,17801,302447,30984,46480,3949,14945
4084775,49674,976112,75757,113646,11338,42901
2108850,21006,390579,35754,53637,5247,19856
2119825,25883,507807,41497,62251,6125,23179
2055625,21072,401994,42261,63397,4870,18431
2451100,26371,489123,48243,72373,6052,22905
2300378,31832,556176,41199,61804,8495,32151
2621150,27142,556810,55246,82876,6945,26284
1509000,15636,293405,29004,43509,4120,15592
2416875,30998,579180,45225,67844,7719,29212
2269100,23765,505308,43340,65015,5520,20890
2634500,26555,545057,54908,82370,6239,23612
2825725,34592,677422,59101,88660,9237,34959
2648803,23784,489501,54028,81048,5584,21131
1370725,12102,224847,24329,36496,2857,10810
1792875,15945,322854,33138,49711,3763,14240
1667800,14992,288726,34684,52030,3571,13513
1558500,16420,284408,29087,43635,3897,14747
1496175,13589,245643,26250,39379,3265,12356
1639250,20114,404393,30664,46000,4780,18092
1504500,20053,389831,27202,40806,5548,20998
1608325,18490,354202,28864,43299,4262,16130
1889725,22862,481738,37068,55606,5569,21077
1781800,19757,391049,32119,48183,4949,18730
1645328,14406,255402,29227,43844,3419,12937
1572175,13918,250635,28064,42099,3251,12304
1788625,20062,389577,33112,49672,4724,17880
1902725,21027,377393,36166,54254,4995,18904
1729750,17638,351117,33762,50648,4403,16664
1861225,21892,391895,36308,54466,5343,20221
1937000,23995,424947,34191,51291,6171,23355
1928825,23094,425732,33826,50744,5748,21753
1929825,21636,378891,35116,52678,5244,19846
2356025,26056,481786,43820,65735,7147,27048
1439975,17596,300749,25803,38708,4826,18263
2057650,22877,425772,37356,56039,5501,20820
1950700,25055,424780,36008,54017,5987,22657
1947250,20552,355790,36995,55497,4868,18423
2262850,24794,497429,40146,60225,5973,22606
1979325,18963,330683,35843,53769,4465,16898
1718450,18061,322317,29889,44837,4231,16013
1760450,19256,329079,30317,45480,4677,17700
1714000,23758,432678,30006,45013,6742,25517
1747100,18649,319070,31249,46877,4408,16682
1778375,19823,356637,33169,49757,5146,19477
1684925,20306,359271,30918,46381,5550,21004
1805403,18018,304549,31871,47811,4402,16659
2098250,19870,363015,36083,54130,4723,17876
1505750,16415,313241,26785,40181,3801,14386
1989002,21645,390234,34547,51826,5016,18982
1825325,18336,332885,32810,49219,4342,16432
1743650,18651,355797,31829,47748,4444,16816
